target,criterion,train_loss,valid_loss,train_R2,valid_R2,train_R2_std,valid_R2_std
Dipole moment,RMSE,1.0775238080881628,1.0633254814627495,0.45255449412560156,0.47963074538973716,0.0001093657255568952,0.00028563185054775696
Dipole moment,RMSE,1.0775238080881628,1.0633254814627495,0.45255449412560156,0.47963074538973716,0.0001093657255568952,0.00028563185054775696
Isotropic polarizability,RMSE,1.5842784936111467,1.4294420492070623,0.962835468504705,0.9675993236216296,2.5892919857651162e-05,5.002370376903693e-05
HOMO,RMSE,0.3376741005414448,0.31622076991568576,0.6649449981696591,0.704798010053672,7.089332868887527e-05,0.0001854382001155889
LUMO,RMSE,0.469678245958659,0.4756968647000546,0.8604331125718357,0.8547940733139967,3.143194509185495e-05,9.150792909615154e-05
E_Gap,RMSE,0.5694540272493236,0.56607633472823,0.7992980360958543,0.7998370016138912,3.968244872774727e-05,0.0001194518183434794
Electronic spatial extent,RMSE,122.95374200407487,119.96038101158484,0.7930986779186147,0.803316267678397,5.8587943777516824e-05,0.00016566395858200192
Dipole moment,RMSE,1.1157293094158407,1.112997504694176,0.41652817854792035,0.4193406520662693,0.00011170921100076562,0.0003801618503700856
Isotropic polarizability,RMSE,2.026749553396568,2.6657166862432713,0.9369445924789009,0.8869840864773566,3.0220706473757538e-05,0.0001013415471169721
HOMO,RMSE,0.3711262360849654,0.37070904024612694,0.5960083768135106,0.5937868014156743,8.585438444387397e-05,0.00025803691359548096
LUMO,RMSE,0.5041771853475578,0.5172316636011922,0.8385755855153368,0.8308725216761528,3.217074810549168e-05,9.71259169677634e-05
E_Gap,RMSE,0.5983014818464006,0.6084272857944208,0.7778166583600685,0.7703207294699708,4.5056085817812685e-05,0.00012402607822419417
Electronic spatial extent,RMSE,153.32339728126522,148.77004128149102,0.6817997373111495,0.697636818323016,8.073606040065732e-05,0.0002219607599987742
ZPVE,RMSE,0.05163823655076148,0.042588394101857406,0.9965706094782985,0.997664802758429,1.637173816275031e-06,1.4551201791414055e-06
Dipole moment,RMSE,1.127100097173584,1.1324619855686475,0.4124472315776396,0.4365714142439938,0.00011574855123477724,0.00029158113972322714
